Id,CAS,SMILES,Status,Experimental value [log(cm/h)],Predicted value [log(cm/h)],GNN_status
232,298-81-7,COC1=C2OC(=O)C=CC2=CC3=C1OC=C3,Training,-1.75,-2.465367,Train
233,109-86-4,COCCO,Training,-3.73,-3.510983,Train
234,132537-22-5,COCCOCCOCCOC(=O)C1=CN=CC=C1,Training,-3.51,-4.2413006,Train
235,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,Training,-1.4,-1.7460818,Train
236,87-68-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,Training,-0.92,-1.7097163,Train
237,127-18-4,ClC(Cl)=C(Cl)Cl,Training,-0.8537,-1.9866127,Valid
238,106-89-8,ClCC1CO1,Training,-3.43,-2.8643804,Train
239,542-75-6,ClCC=CCl,Training,-2,-2.2987301,Train
240,107-06-2,ClCCCl,Training,-2,-2.2300088,Train
241,17194-82-0,NC(=O)CC1=CC=C(O)C=C1,Training,-3.33,-3.1963425,Test
242,298-46-4,NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,Training,-2.1237,-2.2394755,Train
243,617-45-8,NC(CC(O)=O)C(O)=O,Training,-3.95,-4.3956084,Test
244,59-92-7,NC(CC1=CC(=O)C(=O)CC1)C(O)=O,Training,-4.18,-4.245648,Train
245,4998-57-6,NC(CC1=CNC=N1)C(O)=O,Training,-4.25,-4.3679028,Train
246,5131-60-2,NC1=CC(N)=C(Cl)C=C1,Training,-2.68,-2.8593476,Train
247,106-60-5,NCC(=O)CCC(O)=O,Training,-4.15,-4.3320384,Test
248,1134-47-0,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,Training,-4.41,-3.0135672,Train
249,64-04-0,NCCC1=CC=CC=C1,Training,-3.77,-2.5469277,Train
250,56-87-1,NCCCCC(N)C(O)=O,Training,-3.54,-4.0746455,Train
251,141-43-5,NCCO,Training,-4.02,-3.9154985,Train
252,533-73-3,O=C1CCC(=O)C(=O)C1,Training,-3.9,-3.956577,Test
253,108-94-1,O=C1CCCCC1,Training,-2.74,-2.4646888,Train
254,631-64-1,OC(=O)C(Br)Br,Training,-2.58,-3.046352,Train
255,76-03-9,OC(=O)C(Cl)(Cl)Cl,Training,-2.72,-2.6675975,Train
256,5589-96-8,OC(=O)C(Cl)Br,Training,-2.79,-2.9254353,Train
257,79-43-6,OC(=O)C(Cl)Cl,Training,-2.72,-2.804519,Train
258,79-10-7,OC(=O)C=C,Training,-3.05,-2.8072057,Train
259,79-08-3,OC(=O)CBr,Training,-2.85,-3.0780478,Train
260,79-11-8,OC(=O)CCl,Training,-2.95,-2.9095612,Train
261,1461-15-0,OC(=O)CN(CC(O)=O)CC1=CC2=C(OC3=CC(O)=C(CN(CC(O)=O)CC(O)=O)C=C3C24OC(=O)C5=C4C=CC=C5)C=C1O,Training,-4.0637,-4.712905,Valid
262,52-86-8,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3,Training,-3.47,-2.2322013,Train
263,108-43-0,OC1=CC(Cl)=CC=C1,Training,-1.44,-1.9027361,Test
264,16051-77-7,OC1COC2C(COC12)O[N+]([O-])=O,Training,-3.4037,-4.178338,Train
265,14199-15-6,OCC1=CC=C(CC(O)=O)C=C1,Training,-1.7,-3.099257,Train
266,623-05-2,OCC1=CC=C(O)C=C1,Training,-2.7,-2.776674,Train
267,17629-30-0,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,Training,-4.81,-10.075344,Test
268,107-18-6,OCC=C,Training,-2.95,-2.8703775,Train
269,111-42-2,OCCNCCO,Training,-4.38,-4.260459,Train
270,107-21-1,OCCO,Training,-4.07,-3.7154572,Train
